"","date","sensor","value","year","season","from_sn_start"
"167",2022-07-15,"aqs",NA,2022,"Summer",3801600
"168",2022-07-15,"beaco2n",NA,2022,"Summer",3801600
"169",2022-07-15 01:00:00,"aqs",NA,2022,"Summer",3805200
"170",2022-07-15 01:00:00,"beaco2n",NA,2022,"Summer",3805200
"171",2022-07-15 02:00:00,"aqs",NA,2022,"Summer",3808800
"172",2022-07-15 02:00:00,"beaco2n",NA,2022,"Summer",3808800
"173",2022-07-15 03:00:00,"aqs",NA,2022,"Summer",3812400
"174",2022-07-15 03:00:00,"beaco2n",NA,2022,"Summer",3812400
"175",2022-07-15 04:00:00,"aqs",NA,2022,"Summer",3816000
"176",2022-07-15 04:00:00,"beaco2n",NA,2022,"Summer",3816000
"177",2022-07-15 08:00:00,"aqs",NA,2022,"Summer",3830400
"178",2022-07-15 08:00:00,"beaco2n",NA,2022,"Summer",3830400
"179",2022-07-15 09:00:00,"aqs",NA,2022,"Summer",3834000
"180",2022-07-15 09:00:00,"beaco2n",NA,2022,"Summer",3834000
"181",2022-07-15 10:00:00,"aqs",NA,2022,"Summer",3837600
"182",2022-07-15 10:00:00,"beaco2n",NA,2022,"Summer",3837600
"183",2022-07-15 11:00:00,"aqs",NA,2022,"Summer",3841200
"184",2022-07-15 11:00:00,"beaco2n",NA,2022,"Summer",3841200
"185",2022-07-15 12:00:00,"aqs",NA,2022,"Summer",3844800
"186",2022-07-15 12:00:00,"beaco2n",NA,2022,"Summer",3844800
"187",2022-07-15 13:00:00,"aqs",NA,2022,"Summer",3848400
"188",2022-07-15 13:00:00,"beaco2n",NA,2022,"Summer",3848400
"189",2022-07-15 14:00:00,"aqs",NA,2022,"Summer",3852000
"190",2022-07-15 14:00:00,"beaco2n",NA,2022,"Summer",3852000
"191",2022-07-15 15:00:00,"aqs",NA,2022,"Summer",3855600
"192",2022-07-15 15:00:00,"beaco2n",NA,2022,"Summer",3855600
"193",2022-07-15 16:00:00,"aqs",NA,2022,"Summer",3859200
"194",2022-07-15 16:00:00,"beaco2n",NA,2022,"Summer",3859200
"195",2022-07-15 17:00:00,"aqs",NA,2022,"Summer",3862800
"196",2022-07-15 17:00:00,"beaco2n",NA,2022,"Summer",3862800
"197",2022-07-15 18:00:00,"aqs",NA,2022,"Summer",3866400
"198",2022-07-15 18:00:00,"beaco2n",NA,2022,"Summer",3866400
